theta_min,theta_max,p_min,p_max,dKdThetadP_Plus,Stat,Sys,dKdThetadP_Minus,Stat_Minus,Sys_Minus
60,100,7.6,8.8,7.8,0.6,0.4,1.7,0.2,0.1
60,100,8.8,10,5.2,0.5,0.3,1.1,0.2,0.05
60,100,10,11.6,3.2,0.4,0.2,0.5,0.1,0.03
60,100,11.6,13.2,1.2,0.2,0.1,0.1,0.03,0
60,100,13.2,14.8,0.9,0.2,0.1,0.1,0.1,0.01
60,100,14.8,16.4,0.3,0.1,0.04,0.01,0.01,0
100,140,0.8,1.6,16.9,2.2,0.6,7.3,1.5,0.2
100,140,1.6,2.4,27.7,2,0.8,11.4,1.2,0.4
100,140,2.4,3.2,26.3,1.4,0.7,10,0.9,0.3
100,140,3.2,4,20.7,1.2,0.6,8.5,0.7,0.2
100,140,4,4.8,18,1.1,0.5,5.4,0.6,0.1
100,140,4.8,5.6,11.8,0.9,0.4,3.9,0.5,0.1
100,140,5.6,6.4,8.6,0.8,0.3,1.5,0.3,0.05
100,140,6.4,7.6,5.2,0.5,0.2,1.4,0.2,0.05
100,140,7.6,8.8,3.1,0.5,0.2,0.6,0.1,0.02
100,140,8.8,10,1.5,0.4,0.1,0.2,0.1,0.01
100,140,10,11.6,0.6,0.2,0.05,0.02,0.02,0
100,140,11.6,13.2,0.3,0.1,0.03,0.3,0.3,0.01
140,180,0.8,1.6,18.1,4.1,0.6,12.7,4.1,0.4
140,180,1.6,2.4,24.2,1.9,0.7,15.9,1.7,0.5
140,180,2.4,3.2,23.7,1.7,0.6,8.9,1,0.2
140,180,3.2,4,18.2,1.4,0.5,6.4,0.8,0.2
140,180,4,4.8,8.8,1,0.2,2.7,0.5,0.1
140,180,4.8,5.6,5.6,0.8,0.2,2,0.5,0.1
140,180,5.6,6.4,4,0.7,0.1,1.6,0.4,0.05
140,180,6.4,7.6,1.6,0.4,0.1,0.4,0.2,0.02
140,180,7.6,8.8,0.6,0.3,0.03,0.5,0.5,0.02
180,240,0.8,1.6,22.9,3.3,0.8,11.3,2.5,0.4
180,240,1.6,2.4,24.9,2.4,0.8,11.3,1.7,0.4
180,240,2.4,3.2,14,1.6,0.4,5,0.9,0.1
180,240,3.2,4,11.5,1.4,0.3,3.6,0.9,0.1
180,240,4,4.8,5.4,1,0.1,1.5,0.6,0.04
180,240,4.8,5.6,2,0.6,0.1,1.4,0.5,0.04
180,240,5.6,6.4,2.4,0.8,0.1,0.1,0.1,0.01
